input,output,candidate_1,candidate_2,candidate_3,model_name,lmcor_output
"Người đi đầu trong xu hướng này, không ai khác, chính là Electronic Arts (EA), hãng phát hành game số 1 thế giới.","Người đi đầu trong xu hướng này, không ai khác, chính là Electronic Arts (EA), hãng phát hành game số 1 thế giới.","Người đi đầu trong xu hướng này, không ai khác, chính là Electronic Arts (EA), hãng phát hành game số 1 thế giới.","Người đi đầu trong xu hướng này, không ai khác, chính là Electronic Arts (EA), hãng phát hành game số 1 thế giới.","Người đi đầu trong xu hướng này, không ai khác, chính là Electronic Arts (EA), hãng phát hành game số 1 thế giới.",gemma-3-27b-it,"Người đi đầu trong xu hướng này, không ai khác, chính là Electronic Arts (EA), hãng phát hành game số 1 thế giới."
Vì thếA phn ứng giận dữ của Maradora là hoàn toàn cố thxể hiểu ược,"Vì thế, phản ứng giận dữ của Maradona là hoàn toàn có thể hiểu được.",Vì thế phản ứng giận dữ của Maradona là hoàn toàn có thể hiểu được.,Vì thế phản ứng giận dữ của Maradona là hoàn toàn có thể hiểu được.,Vì thế phản ứng giận dữ của Maradona là hoàn toàn có thể hiểu được.,gemma-3-27b-it,"Vì thế, phản ứng giận dữ của Maradora là hoàn toàn có thể hiểu được."
TRong trường hợp khẩn cấp như nghi can có khả năng thủ tiêu chứng cứ hoặc có hể gâyPnguy hiểm đến tínyh mạng cảnh sát có thể phá cửa xông vào trước và thônKg báo lệnh khám sau,"Trong trường hợp khẩn cấp như nghi can có khả năng thủ tiêu chứng cứ hoặc có thể gây nguy hiểm đến tính mạng, cảnh sát có thể phá cửa xông vào trước và thông báo lệnh khám sau.","Trong trường hợp khẩn cấp như nghi can có khả năng thủ tiêu chứng cứ hoặc có thể gây nguy hiểm đến tính mạng, cảnh sát có thể phá cửa xông vào trước và không báo lệnh khám sau.","Trong trường hợp khẩn cấp như nghi can có khả năng thủ tiêu chứng cứ hoặc có thể gây nguy hiểm đến tính mạng, cảnh sát có thể phá cửa xông vào trước và không báo lệnh khám sau.","Trong trường hợp khẩn cấp như nghi can có khả năng thủ tiêu chứng cứ hoặc có thể gây nguy hiểm đến tính mạng, cảnh sát có thể phá cửa xông vào trước và không báo lệnh khám sau.",gemma-3-27b-it,"Trong trường hợp khẩn cấp như nghi can có khả năng thủ tiêu chứng cứ hoặc có thể gây nguy hiểm đến tính mạng, cảnh sát có thể phá cửa xông vào trước và không báo lệnh khám sau."
Ngôi sao người Anh này đã ghi bàn duy NXất mang lạithắng lợi khiêm tốN 1C0 cho CLB tân vô địch oiải Ngoại hạng trước đương kim quán quân Hàn Quốc - SamsUng Suwon Bluewings,"Ngôi sao người Anh này đã ghi bàn duy nhất, mang lại thắng lợi khiêm tốn 1-0 cho CLB tân vô địch giải Ngoại hạng trước đương kim quán quân Hàn Quốc - Samsung Suwon Bluewings.",Ngôi sao người Anh này đã ghi bàn duy nhất mang lại thắng lợi khiêm tốn 1-0 cho CLB tân vô địch giải Ngoại hạng trước đương kim quán quân Hàn Quốc - Samsung Suwon Bluewings.,Ngôi sao người Anh này đã ghi bàn duy nhất mang lại thắng lợi khiêm tốn 1-0 cho CLB tân vô địch giải Ngoại hạng trước đương kim quán quân Hàn Quốc - Samsung Suwon Bluewings.,Ngôi sao người Anh này đã ghi bàn duy nhất mang lại thắng lợi khiêm tốn 1-0 cho CLB tân vô địch giải Ngoại hạng trước đương kim quán quân Hàn Quốc - Samsung Suwon Bluewings.,gemma-3-27b-it,Ngôi sao người Anh này đã ghi bàn duy nhất mang lại thắng lợi khiêm tốn 1-0 cho CLB tân vô địch giải Ngoại hạng trước đương kim quán quân Hàn Quốc - Samsung Suwon Bluewings.
Và từ đó chị đã chính thức trở lại vớiquần vợt đỉnh cao,"Và từ đó, chị đã chính thức trở lại với quần vợt đỉnh cao.",Và từ đó chị đã chính thức trở lại với quần vợt đỉnh cao.,Và từ đó chị đã chính thức trở lại với quần vợt đỉnh cao.,Và từ đó chị đã chính thức trở lại với quần vợt đỉnh cao.,gemma-3-27b-it,"Và từ đó, chị đã chính thức trở lại với quần vợt đỉnh cao."
Tôi tìno chuyện này từ lâu rồi nhưng do bận đi hát Uên cứ chần chừ mi kinh doanh đối với tRi cũng chỉ lànghềtay tNái nên không được ưu tiêM bằng nghề tay phai là ca hát khi nào Thực sự có thời gian tôi mwới bắt tay vào kinh doanh,"Tôi tính chuyện này từ lâu rồi nhưng do bận đi hát nên cứ chần chừ mãi, kinh doanh đối với tôi cũng chỉ là nghề tay trái nên không được ưu tiên bằng nghề tay phải là ca hát, khi nào thực sự có thời gian, tôi mới bắt tay vào kinh doanh.","Tôi tin chuyện này từ lâu rồi nhưng do bận đi hát nên cứ chần chừ, vì kinh doanh đối với tôi cũng chỉ là nghề tay trái nên không được ưu tiên bằng nghề tay phải là ca hát. Khi nào thực sự có thời gian tôi mới bắt tay vào kinh doanh.","Tôi tin chuyện này từ lâu rồi nhưng do bận đi hát nên cứ chần chừ, kinh doanh đối với tôi cũng chỉ là nghề tay trái nên không được ưu tiên bằng nghề tay phải là ca hát. Khi nào thực sự có thời gian tôi mới bắt tay vào kinh doanh.","Tôi nghĩ chuyện này từ lâu rồi nhưng do bận đi hát nên cứ chần chừ, vì kinh doanh đối với tôi cũng chỉ là nghề tay trái nên không được ưu tiên bằng nghề tay phải là ca hát. Khi nào thực sự có thời gian tôi mới bắt tay vào kinh doanh.",gemma-3-27b-it,"Tôi nghĩ chuyện này từ lâu rồi nhưng do bận đi hát nên cứ chần chừ, vì kinh doanh đối với tôi cũng chỉ là nghề tay trái nên không được ưu tiên bằng nghề tay phải là ca hát. Khi nào thực sự có thời gian tôi mới bắt tay vào kinh doanh?"
SaUF đó các tác giả phải cMấp nhậN kiỂm duyệt cắtbỏ những pha nóng bỏng bộ phim mới được phép chiếu rộng rãi,"Sau đó các tác giả phải chấp nhận kiểm duyệt cắt bỏ những pha nóng bỏng, bộ phim mới được phép chiếu rộng rãi.","Sau đó các tác giả phải chấp nhận kiểm duyệt, cắt bỏ những pha nóng bỏng bộ phim mới được phép chiếu rộng rãi.","Sau đó các tác giả phải chấp nhận kiểm duyệt, cắt bỏ những pha nóng bỏng bộ phim mới được phép chiếu rộng rãi.","Sau đó các tác giả phải chấp nhận kiểm duyệt, cắt bỏ những pha nóng bỏng bộ phim mới được phép chiếu rộng rãi.",gemma-3-27b-it,"Sau đó các tác giả phải chấp nhận kiểm duyệt, cắt bỏ những pha nóng bỏng bộ phim mới được phép chiếu rộng rãi."
Thạc sĩ Nguyễn Thmị Oanh (Hgội Tâm lý giáo dục TPHCM) đặt câu hỏi Mùa hè xanh choh ai vì cho rầng tham gia chyiến dịch khôNg phải làm thay người dân mà giúp họ cách làm cáoh giải quYết vấn đềvàEhư vậoy mới bền vững,"Thạc sĩ Nguyễn Thị Oanh (Hội Tâm lý giáo dục TP.HCM) đặt câu hỏi Mùa hè xanh cho ai?, vì cho rằng tham gia chiến dịch không phải làm thay người dân mà giúp họ cách làm, cách giải quyết vấn đề và như vậy mới bền vững.","Thạc sĩ Nguyễn Thị Oanh (Hội Tâm lý giáo dục TPHCM) đặt câu hỏi: ""Mùa hè xanh cho ai?"", vì cho rằng tham gia chiến dịch không phải làm thay người dân mà giúp họ cách làm để giải quyết vấn đề và như vậy mới bền vững.",Thạc sĩ Nguyễn Thị Oanh (Hội Tâm lý giáo dục TPHCM) đặt câu hỏi: “Mùa hè xanh cho ai?” vì cho rằng tham gia chiến dịch không phải làm thay người dân mà giúp họ cách làm để giải quyết vấn đề và như vậy mới bền vững.,"Thạc sĩ Nguyễn Thị Oanh (Hội Tâm lý giáo dục TPHCM) đặt câu hỏi: ""Mùa hè xanh cho ai?"", vì cho rằng tham gia chiến dịch không phải làm thay người dân mà giúp họ cách làm để giải quyết vấn đề và như vậy mới bền vững.",gemma-3-27b-it,Thạc sĩ Nguyễn Thị Oanh (Hội Tâm lý giáo dục TPHCM) đặt câu hỏi Mùa hè xanh cho ai? Vì cho rằng tham gia chiến dịch không phải làm thay người dân mà giúp họ cách làm để giải quyết vấn đề và như vậy mới bền vững.
"Vở Triệu đô la, vừa ra mắt khán giả tại Sân khấu Kịch Sài Gòn, có thể xem là tác phẩm đầu tay của Hữu Nghĩa, đánh dấu bước ngoặt 20 năm sống với nghề diễn viên kịch của anh.","Vở Triệu đô la, vừa ra mắt khán giả tại Sân khấu Kịch Sài Gòn, có thể xem là tác phẩm đầu tay của Hữu Nghĩa, đánh dấu bước ngoặt 20 năm sống với nghề diễn viên kịch của anh.","Vở Triệu đô la, vừa ra mắt khán giả tại Sân khấu Kịch Sài Gòn, có thể xem là tác phẩm đầu tay của Hữu Nghĩa, đánh dấu bước ngoặt 20 năm sống với nghề diễn viên kịch của anh.","Vở Triệu đô la, vừa ra mắt khán giả tại Sân khấu Kịch Sài Gòn, có thể xem là tác phẩm đầu tay của Hữu Nghĩa, đánh dấu bước ngoặt 20 năm sống với nghề diễn viên kịch của anh.","Vở Triệu đô la, vừa ra mắt khán giả tại Sân khấu Kịch Sài Gòn, có thể xem là tác phẩm đầu tay của Hữu Nghĩa, đánh dấu bước ngoặt 20 năm sống với nghề diễn viên kịch của anh.",gemma-3-27b-it,"Vở Triệu đô la vừa ra mắt khán giả tại Sân khấu Kịch Sài Gòn, có thể xem là tác phẩm đầu tay của Hữu Nghĩa, đánh dấu bước ngoặt 20 năm sống với nghề diễn viên kịch của anh."
"Vào đúng ngày cuối cùng năm 2003, Carlos Tevez đã được tờ báo có uy tín El Pais của Uruguay bình chọn là gương mặt tiêu biểu nhất khu vực trong năm.","Vào đúng ngày cuối cùng năm 2003, Carlos Tevez đã được tờ báo có uy tín El Pais của Uruguay bình chọn là gương mặt tiêu biểu nhất khu vực trong năm.","Vào đúng ngày cuối cùng năm 2003, Carlos Tevez đã được tờ báo có uy tín El Pais của Uruguay bình chọn là gương mặt tiêu biểu nhất khu vực trong năm.","Vào đúng ngày cuối cùng năm 2003, Carlos Tevez đã được tờ báo có uy tín El Pais của Uruguay bình chọn là gương mặt tiêu biểu nhất khu vực trong năm.","Vào đúng ngày cuối cùng năm 2003, Carlos Tevez đã được tờ báo có uy tín El Pais của Uruguay bình chọn là gương mặt tiêu biểu nhất khu vực trong năm.",gemma-3-27b-it,"Vào đúng ngày cuối cùng năm 2003, Carlos Tevez đã được tờ báo có uy tín El Pais của Uruguay bình chọn là gương mặt tiêu biểu nhất khu vực trong năm."
