Test set,Model,R-1,R-2,R-L,BLEU
Llama-3.3-70B-Instruct,candidate_1,0.5756679628190566,0.25203531473865914,0.3440722346345083,0.08833130606053834
Llama-3.3-70B-Instruct,candidate_2,0.58117065153967,0.2544339750066126,0.347546060962109,0.08766749109545867
Llama-3.3-70B-Instruct,candidate_3,0.5775181159314589,0.2522898790164464,0.3435026748003393,0.08681465373511305
Llama-3.3-70B-Instruct,lmcor_single,0.538217826965431,0.18954106163726128,0.31934458447842484,0.11187235916683234
Llama-3.3-70B-Instruct,lmcor_mult,0.5196087343052767,0.17088280921638488,0.3079717482628913,0.09390747709440538
gemini-2.0-flash,candidate_1,0.590682454256569,0.26282542824458155,0.34997556670086094,0.1078661938126358
gemini-2.0-flash,candidate_2,0.5945185699283067,0.261258628033896,0.34805934780256687,0.10635924555833111
gemini-2.0-flash,candidate_3,0.6006314863030044,0.2710424426591641,0.35643329973845717,0.11516321342251569
gemini-2.0-flash,lmcor_single,0.5448456639649659,0.2169951988728877,0.33388135114927897,0.11945933391766253
gemini-2.0-flash,lmcor_mult,0.5249397540524237,0.19513887290236115,0.32065531471176534,0.11272025167303666
gemini-2.5-flash,candidate_1,0.5311651515694531,0.2312613692086282,0.3074629763195657,0.02888524571710017
gemini-2.5-flash,candidate_2,0.5350155478984018,0.2315634456844733,0.3102624453614372,0.028653286659261475
gemini-2.5-flash,candidate_3,0.5380347863261399,0.23526086190575737,0.31318538405167695,0.03221592746159882
gemini-2.5-flash,lmcor_single,0.5482483154648278,0.2263290141379396,0.3450493406981091,0.14293985065087683
gemini-2.5-flash,lmcor_mult,0.5326502093781349,0.21935505803468425,0.34045875319682517,0.14244085675040646
