Task,Folder,File,Model/Candidate,GEC_F0.5,BLEU,COMET,BLEURT
GEC,vit5_base_multi,multi_Llama-3.3-70B-Instruct.csv,candidate_1,68.07,,,
GEC,vit5_base_multi,multi_Llama-3.3-70B-Instruct.csv,candidate_2,69.04,,,
GEC,vit5_base_multi,multi_Llama-3.3-70B-Instruct.csv,candidate_3,69.38,,,
GEC,vit5_base_multi,multi_Llama-3.3-70B-Instruct.csv,lmcor_output,76.52,,,
GEC,vit5_base_multi,multi_gemini-2.0-flash.csv,candidate_1,76.35,,,
GEC,vit5_base_multi,multi_gemini-2.0-flash.csv,candidate_2,74.47,,,
GEC,vit5_base_multi,multi_gemini-2.0-flash.csv,candidate_3,77.57,,,
GEC,vit5_base_multi,single_gemini-2.0-flash.csv,lmcor_output,79.42,,,
GEC,vit5_base_multi,multi_gemini-2.5-flash.csv,candidate_1,73.59,,,
GEC,vit5_base_multi,multi_gemini-2.5-flash.csv,candidate_2,73.53,,,
GEC,vit5_base_multi,multi_gemini-2.5-flash.csv,candidate_3,77.61,,,
GEC,vit5_base_multi,single_gemini-2.5-flash.csv,lmcor_output,79.17,,,
GEC,vit5_base_multi,multi_gemma-27B.csv,candidate_1,78.42,,,
GEC,vit5_base_multi,multi_gemma-27B.csv,candidate_2,78.37,,,
GEC,vit5_base_multi,multi_gemma-27B.csv,candidate_3,78.72,,,
GEC,vit5_base_multi,multi_gemma-27B.csv,lmcor_output,80.36,,,
GEC,vit5_base_single,single_Llama-3.3-70B-Instruct.csv,candidate_1,68.07,,,
GEC,vit5_base_single,single_Llama-3.3-70B-Instruct.csv,candidate_2,69.04,,,
GEC,vit5_base_single,single_Llama-3.3-70B-Instruct.csv,candidate_3,69.38,,,
GEC,vit5_base_single,single_Llama-3.3-70B-Instruct.csv,lmcor_output,76.72,,,
GEC,vit5_base_single,single_gemini-2.0-flash.csv,candidate_1,76.35,,,
GEC,vit5_base_single,single_gemini-2.0-flash.csv,candidate_2,74.47,,,
GEC,vit5_base_single,single_gemini-2.0-flash.csv,candidate_3,77.57,,,
GEC,vit5_base_single,multi_gemini-2.0-flash.csv,lmcor_output,79.39,,,
GEC,vit5_base_single,single_gemini-2.5-flash.csv,candidate_1,73.59,,,
GEC,vit5_base_single,single_gemini-2.5-flash.csv,candidate_2,73.53,,,
GEC,vit5_base_single,single_gemini-2.5-flash.csv,candidate_3,77.61,,,
GEC,vit5_base_single,multi_gemini-2.5-flash.csv,lmcor_output,76.65,,,
GEC,vit5_base_single,single_gemma_3_27b.csv,candidate_1,78.42,,,
GEC,vit5_base_single,single_gemma_3_27b.csv,candidate_2,78.37,,,
GEC,vit5_base_single,single_gemma_3_27b.csv,candidate_3,78.72,,,
GEC,vit5_base_single,single_gemma_3_27b.csv,lmcor_output,79.87,,,
MT,mt5_base_multi,multi_Llama-3.3-70B-Instruct.csv,LMCOR_Output,,41.26,86.21,22.78
MT,mt5_base_multi,multi_Llama-3.3-70B-Instruct.csv,candidate_1,,41.03,86.79,23.17
MT,mt5_base_multi,multi_Llama-3.3-70B-Instruct.csv,candidate_2,,41.17,86.77,23.01
MT,mt5_base_multi,multi_Llama-3.3-70B-Instruct.csv,candidate_3,,41.13,86.71,22.69
MT,mt5_base_multi,multi_gemini-2.0-flash.csv,LMCOR_Output,,46.6,87.57,28.18
MT,mt5_base_multi,multi_gemini-2.0-flash.csv,candidate_1,,46.77,88.29,29.44
MT,mt5_base_multi,multi_gemini-2.0-flash.csv,candidate_2,,44.26,88.12,29.28
MT,mt5_base_multi,multi_gemini-2.0-flash.csv,candidate_3,,44.27,88.18,29.42
MT,mt5_base_multi,multi_gemini-2.5-flash.csv,LMCOR_Output,,45.32,87.36,28.42
MT,mt5_base_multi,multi_gemini-2.5-flash.csv,candidate_1,,43.58,87.06,28.28
MT,mt5_base_multi,multi_gemini-2.5-flash.csv,candidate_2,,44.33,87.41,28.48
MT,mt5_base_multi,multi_gemini-2.5-flash.csv,candidate_3,,43.96,87.28,28.19
MT,mt5_base_multi,multi_gemma-3-27b-it.csv,LMCOR_Output,,44.18,87.28,24.84
MT,mt5_base_multi,multi_gemma-3-27b-it.csv,candidate_1,,43.72,87.99,25.83
MT,mt5_base_multi,multi_gemma-3-27b-it.csv,candidate_2,,43.79,87.99,25.83
MT,mt5_base_multi,multi_gemma-3-27b-it.csv,candidate_3,,43.91,88.0,26.01
MT,mt5_base_single,single_Llama-3.3-70B-Instruct.csv,LMCOR_Output,,40.69,86.0,22.64
MT,mt5_base_single,single_Llama-3.3-70B-Instruct.csv,candidate_1,,41.03,86.79,23.17
MT,mt5_base_single,single_Llama-3.3-70B-Instruct.csv,candidate_2,,41.17,86.77,23.01
MT,mt5_base_single,single_Llama-3.3-70B-Instruct.csv,candidate_3,,41.13,86.71,22.69
MT,mt5_base_single,single_gemini-2.0-flash.csv,LMCOR_Output,,45.99,87.51,28.53
MT,mt5_base_single,single_gemini-2.0-flash.csv,candidate_1,,46.77,88.29,29.44
MT,mt5_base_single,single_gemini-2.0-flash.csv,candidate_2,,44.26,88.12,29.28
MT,mt5_base_single,single_gemini-2.0-flash.csv,candidate_3,,44.27,88.18,29.42
MT,mt5_base_single,single_gemini-2.5-flash.csv,LMCOR_Output,,44.57,86.87,28.71
